table_name	row_count_approx
address	30
admin_users	4
attr_values	828
attributes	4
banners	10
cart	5385
cart_items	6503
categories	52
econt_cities	5416
favourite_products	168
firm_details	28
general_pages	16
home_page_blocks	32
last_viewed_products	798247
linked_colors	14
messages	148
meta_table	3107
Orak_Counters	1
order_items	4862
orders	3515
product_cat_rel	3276
product_photos	19907
product_quantities	15678
products	3110
sets	29
settings	10
sizes_template	13
sizes_template_product	13423
slides	54
software_measures	3179
speditors	2
translations	47
unique_vouchers	138
users	173
vouchers	4
